IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PULLEY PAVILLION,1/21/2014 1632,1/21/2014 1632,1/21/2014 1632,2014-000051,CLOSED
FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,1/21/2014 1720,1/21/2014 1615,1/21/2014 1625,2014-000052,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : ETHRIDGE HALL,1/21/2014 1826,1/21/2014 0800,1/21/2014 1745,2014-000053,UNFOUNDED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/21/2014 1922,1/20/2014 2330,1/21/2014 1915,2014-000054,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN HALL,1/22/2014 1106,1/22/2014 1110,1/22/2014 1110,2014-000055,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PULLEY PAVILLION,1/23/2014 1629,1/23/2014 1629,1/23/2014 1629,2014-000056,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/24/2014 0157,1/24/2014 0150,1/24/2014 0155,2014-000057,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/24/2014 1709,1/24/2014 1725,1/24/2014 1725,2014-000058,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/24/2014 1709,1/24/2014 1725,1/24/2014 1725,2014-000058,CLOSED.  CLEARED BY SUMMONS
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,1/24/2014 2213,1/24/2014 2213,1/24/2014 2213,2014-000059,CLOSED.  UTT/UTC ISSUED.
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,1/25/2014 0529,1/25/2014 0529,1/25/2014 0529,2014-000060,CLOSED
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,1/25/2014 0529,1/25/2014 0529,1/25/2014 0529,2014-000060,CLOSED
TRAFFIC LAW VIOLATION : DRIVING UNDER SUSPENSION,MIAMI UNIVERSITY : OXFORD CAMPUS : CENTER DRIVE,1/25/2014 2116,1/25/2014 2116,1/25/2014 2116,2014-000061,CLOSED.  UTT/UTC ISSUED.
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/26/2014 1040,1/26/2014 0200,1/26/2014 1000,2014-000063,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/26/2014 1622,1/26/2014 1622,1/26/2014 1645,2014-000064,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : DISTRICT 2,1/26/2014 1626,1/26/2014 1655,1/26/2014 1655,2014-000066,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/26/2014 1655,1/26/2014 1655,1/26/2014 1655,2014-000067,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/26/2014 1705,1/26/2014 1705,1/26/2014 1705,2014-000065,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/26/2014 2241,1/26/2014 2241,1/26/2014 2241,2014-000068,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/27/2014 1005,1/24/2014 1700,1/27/2014 0820,2014-000069,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,1/27/2014 1102,1/27/2014 1102,1/27/2014 1102,2014-000070,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,1/27/2014 1126,12/6/2013 1700,1/27/2014 0800,2014-000071,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : HIGH ST,1/27/2014 1634,1/27/2014 1634,1/27/2014 1634,2014-000072,CLOSED.  UTT/UTC ISSUED.
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : MACCRACKEN HALL,1/27/2014 1818,1/27/2014 0000,1/27/2014 0300,2014-000073,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/27/2014 2018,1/27/2014 1900,1/27/2014 1915,2014-000074,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DRIVE,1/27/2014 2034,1/27/2014 2034,1/27/2014 2034,2014-000075,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,1/28/2014 0026,1/28/2014 0026,1/28/2014 0026,2014-000076,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
TRAFFIC LAW VIOLATION,CITY OF OXFORD : CHESTNUT ST,1/28/2014 0920,1/28/2014 0920,1/28/2014 0920,2014-000077,CLOSED.  UTT/UTC ISSUED.
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,1/28/2014 1149,12/20/2013 1200,1/28/2014 1200,2014-000078,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/28/2014 1337,1/28/2014 1337,1/28/2014 1337,2014-000079,CLOSED
MENACING,MIAMI UNIVERSITY : OXFORD CAMPUS : COOK FIELD,1/28/2014 1410,1/28/2014 1130,1/28/2014 1130,2014-000080,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/28/2014 2352,1/28/2014 2352,1/28/2014 2352,2014-000081,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/29/2014 0104,1/29/2014 0104,1/29/2014 0104,2014-000082,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/29/2014 0137,1/29/2014 0137,1/29/2014 0137,2014-000083,CLOSED
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/29/2014 0137,1/29/2014 0137,1/29/2014 0137,2014-000083,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : REID HALL,1/29/2014 0146,1/29/2014 0146,1/29/2014 0146,2014-000084,CLOSED
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : REID HALL,1/29/2014 0146,1/29/2014 0146,1/29/2014 0146,2014-000084,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : WELLS HALL,1/29/2014 0155,1/29/2014 0155,1/29/2014 0155,2014-000085,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,1/29/2014 0301,1/29/2014 0301,1/29/2014 0301,2014-000086,CLOSED
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,1/29/2014 0301,1/29/2014 0301,1/29/2014 0301,2014-000086,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/29/2014 0308,1/29/2014 0308,1/29/2014 0308,2014-000087,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/29/2014 0320,1/29/2014 0320,1/29/2014 0320,2014-000088,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,1/29/2014 1515,12/12/2013 1100,1/24/2014 1200,2014-000090,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,1/30/2014 0224,1/30/2014 0224,1/30/2014 0224,2014-000091,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,1/30/2014 0224,1/30/2014 0224,1/30/2014 0224,2014-000091,CLOSED.  CLEARED BY ARREST
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/30/2014 1047,1/29/2014 2300,1/30/2014 0900,2014-000092,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/30/2014 1559,1/29/2014 1045,1/30/2014 0930,2014-000093,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/30/2014 2220,1/30/2014 2220,1/30/2014 2220,2014-000094,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/30/2014 2314,1/30/2014 2314,1/30/2014 2314,2014-000095,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : BETA BELL TOWER,1/31/2014 1630,1/31/2014 1630,1/31/2014 1639,2014-000096,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/31/2014 1713,1/31/2014 1030,1/31/2014 1300,2014-000097,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MACCRACKEN HALL,1/31/2014 1818,1/31/2014 1700,1/31/2014 1815,2014-000098,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/31/2014 1910,1/31/2014 1600,1/31/2014 1900,2014-000099,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/31/2014 2202,1/31/2014 2202,1/31/2014 2202,2014-000100,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : BENTON HALL,2/1/2014 0103,2/1/2014 0103,2/1/2014 0103,2014-000101,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,2/1/2014 0130,2/1/2014 0130,2/1/2014 0130,2014-000102,CLOSED.  CLEARED BY SUMMONS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ENGINEERING BLDG,2/1/2014 1713,2/2/2014 1713,2/2/2014 1713,2014-000103,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/1/2014 1847,2/1/2014 1847,2/1/2014 1847,2014-000104,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/2/2014 0036,2/2/2014 0036,2/2/2014 0036,2014-000105,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/2/2014 0036,2/2/2014 0036,2/2/2014 0036,2014-000105,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/2/2014 1116,2/2/2014 1116,2/2/2014 1116,2014-000106,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : EMERSON HALL,2/2/2014 1214,2/2/2014 1214,2/2/2014 1214,2014-000107,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : HOYT HALL,2/2/2014 1245,2/2/2014 1245,2/2/2014 1245,2014-000108,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,2/3/2014 1125,12/17/2013 1700,1/27/2014 0800,2014-000109,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/4/2014 0008,2/4/2014 0008,2/4/2014 0008,2014-000110,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/4/2014 0008,2/4/2014 0008,2/4/2014 0008,2014-000110,CLOSED.  CLEARED BY SUMMONS
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,2/4/2014 0902,2/3/2014 1715,2/3/2014 1723,2014-000111,CLOSED.  CLEARED BY ARREST
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,2/4/2014 2021,2/4/2014 2021,2/4/2014 2021,2014-000112,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/4/2014 2253,2/4/2014 2253,2/4/2014 2253,2014-000113,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/5/2014 0024,2/5/2014 0024,2/5/2014 0024,2014-000114,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,2/5/2014 1655,2/5/2014 1300,2/5/2014 1640,2014-000115,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,2/5/2014 1940,2/5/2014 1940,2/5/2014 1940,2014-000116,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,2/5/2014 2104,2/5/2014 2104,2/5/2014 2104,2014-000117,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,2/5/2014 2332,2/5/2014 2332,2/5/2014 2332,2014-000118,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,2/6/2014 1000,12/13/2013 1600,1/28/2014 1000,2014-000119,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,2/6/2014 1638,2/6/2014 1638,2/6/2014 1638,2014-000120,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,2/6/2014 1755,2/6/2014 1755,2/6/2014 1755,2014-000121,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/6/2014 1949,2/6/2014 1949,2/6/2014 1949,2014-000122,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : NIKE BASE,2/7/2014 1144,2/7/2014 1144,2/7/2014 1144,2014-000123,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/7/2014 1219,2/7/2014 1219,2/7/2014 1219,2014-000124,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/7/2014 1549,2/7/2014 1440,2/7/2014 1440,2014-000125,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/7/2014 2236,2/7/2014 2236,2/7/2014 2236,2014-000126,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/7/2014 2236,2/7/2014 2236,2/7/2014 2236,2014-000126,CLOSED.  CLEARED BY ARREST
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,2/8/2014 0129,2/8/2014 0129,2/8/2014 0129,2014-000127,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : TALLAWANDA RD,2/8/2014 0218,2/8/2014 2018,2/8/2014 0218,2014-000128,CLOSED.  CLEARED BY SUMMONS
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,2/8/2014 1133,2/8/2014 1133,2/8/2014 1239,2014-000130,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/8/2014 1133,2/7/2014 2359,2/8/2014 1100,2014-000129,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,2/8/2014 1621,2/8/2014 1621,2/8/2014 1621,2014-000131,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : CAMPUS AVENUE PARKING GARAGE,2/8/2014 2156,2/8/2014 2156,2/8/2014 2156,2014-000132,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/9/2014 0002,2/9/2014 0002,2/9/2014 0002,2014-000133,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,2/9/2014 0011,2/9/2014 0011,2/9/2014 0011,2014-000134,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,2/9/2014 0150,2/9/2014 0150,2/9/2014 0150,2014-000135,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,2/9/2014 0150,2/9/2014 0150,2/9/2014 0150,2014-000135,CLOSED
MEDICAL,MIAMI UNIVERSITY : OXFORD CAMPUS : RICHARD HALL,2/9/2014 0326,2/9/2014 0326,2/9/2014 0326,2014-000136,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/9/2014 0428,2/9/2014 0428,2/9/2014 0428,2014-000137,CLOSED
