IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,1/28/2018 1941,1/28/2018 1941,1/28/2018 1941,2018-000044,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/28/2018 1950,1/28/2018 1950,1/28/2018 2012,2018-000045,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/28/2018 2227,1/28/2018 2227,1/28/2018 2227,2018-000046,CLOSED.  CLEARED BY SUMMONS
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/29/2018 0732,1/29/2018 0732,1/29/2018 1535,2018-000051,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/29/2018 0733,1/19/2018 0800,1/30/2018 0800,2018-000052,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : WARFIELD HALL,1/29/2018 0950,1/26/2018 2100,1/29/2018 0920,2018-000047,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/29/2018 1541,1/29/2018 1541,1/29/2018 1541,2018-000048,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,1/29/2018 1914,1/29/2018 1914,1/29/2018 1934,2018-000049,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/29/2018 2034,1/28/2018 1800,1/28/2018 1900,2018-000050,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/30/2018 0734,1/22/2018 0800,1/30/2018 1500,2018-000053,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/30/2018 0809,1/5/2018 1300,1/8/2018 0900,2018-000054,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/30/2018 1613,1/30/2018 1615,1/30/2018 1700,2018-000055,CLOSED
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/30/2018 2239,1/30/2018 2239,1/31/2018 0008,2018-000057,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/30/2018 2259,1/30/2018 2259,1/30/2018 2259,2018-000056,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,1/31/2018 0055,1/31/2018 0055,1/31/2018 0055,2018-000058,CLOSED.  CLEARED BY SUMMONS
PROPERTY : DAMAGE,CITY OF OXFORD : PATTERSON AVE,1/31/2018 0838,1/31/2018 0838,1/31/2018 0838,2018-000059,CLOSED
TRAFFIC CRASH,CITY OF OXFORD : PATTERSON AVE,1/31/2018 0838,1/31/2018 0838,1/31/2018 0838,2018-000059,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/31/2018 1256,1/30/2018 2000,1/30/2018 2200,2018-000060,CLOSED
MENACING,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS,1/31/2018 1616,1/31/2018 1530,1/31/2018 1620,2018-000061,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ENGINEERING BLDG,1/31/2018 1649,1/31/2018 1649,1/31/2018 1649,2018-000062,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/31/2018 1834,1/31/2018 1834,1/31/2018 1852,2018-000063,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/31/2018 2118,1/31/2018 2118,1/31/2018 2135,2018-000064,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/31/2018 2211,1/31/2018 2205,1/31/2018 2226,2018-000065,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/1/2018 0011,2/1/2018 0011,2/1/2018 0018,2018-000066,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/1/2018 0321,2/1/2018 0321,2/1/2018 0340,2018-000067,CLOSED
IDENTITY FRAUD,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,2/1/2018 1141,1/30/2018 1700,2/1/2018 1141,2018-000068,CLOSED
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : HILLCREST HALL,2/1/2018 1352,2/1/2018 1352,2/1/2018 1352,2018-000069,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : PHILLIPS HALL,2/1/2018 1359,1/31/2018 1830,1/31/2018 2000,2018-000070,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/1/2018 2256,2/1/2018 2256,2/1/2018 2256,2018-000071,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,2/2/2018 0031,2/1/2018 2000,2/2/2018 0031,2018-000072,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : BILLINGS DRIVE,2/2/2018 0141,2/2/2018 0141,2/2/2018 0141,2018-000073,CLOSED.  CLEARED BY SUMMONS
OTHER CRIMINAL OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : BILLINGS DRIVE,2/2/2018 0141,2/2/2018 0141,2/2/2018 0141,2018-000073,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : BILLINGS DRIVE,2/2/2018 0141,2/2/2018 0141,2/2/2018 0141,2018-000073,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : BILLINGS DRIVE,2/2/2018 0141,2/2/2018 0141,2/2/2018 0141,2018-000073,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/2/2018 0150,2/2/2018 0150,2/2/2018 0211,2018-000075,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : BILLINGS DRIVE,2/2/2018 0205,2/2/2018 0141,2/2/2018 0204,2018-000074,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/2/2018 0211,2/2/2018 0211,2/2/2018 0211,2018-000076,CLOSED.  CLEARED BY SUMMONS
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/2/2018 0929,2/1/2018 1700,2/2/2018 0800,2018-000077,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,2/2/2018 1030,2/1/2018 1730,2/2/2018 1030,2018-000078,CLOSED
PUBLIC INDECENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DINING,2/2/2018 1110,8/1/2017 0000,1/31/2018 0000,2018-000079,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/2/2018 1624,2/2/2018 1600,2/2/2018 1715,2018-000081,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/2/2018 1625,2/2/2018 0400,2/2/2018 0400,2018-000082,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,2/2/2018 2344,2/2/2018 2344,2/3/2018 0000,2018-000083,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MCBRIDE HALL,2/3/2018 0006,2/3/2018 0006,2/3/2018 0025,2018-000084,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/3/2018 0109,2/3/2018 0109,2/3/2018 0130,2018-000085,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,2/3/2018 0227,2/3/2018 0227,2/3/2018 0227,2018-000086,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/3/2018 0300,2/3/2018 0300,2/3/2018 0330,2018-000087,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,2/3/2018 0551,2/3/2018 0551,2/3/2018 0551,2018-000088,CLOSED
WARRANT SERVICE,CITY OF OXFORD : BUSINESS : PARKVIEW ARMS APARTMENTS,2/3/2018 1621,2/3/2018 1621,2/3/2018 1621,2018-000089,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/3/2018 1954,2/3/2018 1955,2/3/2018 2009,2018-000090,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : RICHARD HALL,2/4/2018 0234,2/4/2018 0234,2/4/2018 0234,2018-000091,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,2/4/2018 0318,2/4/2018 0318,2/4/2018 0342,2018-000092,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,2/4/2018 0318,2/4/2018 0318,2/4/2018 0342,2018-000092,CLOSED.  CLEARED BY SUMMONS
ALARM,CITY OF OXFORD : BONHAM RD,2/4/2018 1426,2/4/2018 1429,2/4/2018 1439,2018-000094,CLOSED. REFERRED TO OTHER LE AGENCY
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,2/4/2018 1943,2/4/2018 1943,2/4/2018 2010,2018-000096,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : LAWS HALL,2/4/2018 1949,2/4/2018 1949,2/4/2018 1949,2018-000095,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COMMUNITY ARTS CENTER (OXFORD COLLEGE),2/5/2018 0359,2/5/2018 0359,2/5/2018 0359,2018-000097,CLOSED
FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COMMUNITY ARTS CENTER (OXFORD COLLEGE),2/5/2018 0359,2/5/2018 0359,2/5/2018 0359,2018-000097,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,2/5/2018 1159,2/2/2018 1015,2/5/2018 0830,2018-000098,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,2/5/2018 1739,2/5/2018 1739,2/5/2018 1739,2018-000099,CLOSED
NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/5/2018 2059,2/5/2018 2059,2/5/2018 2131,2018-000100,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/5/2018 2211,2/5/2018 2211,2/5/2018 2220,2018-000101,CLOSED
SEX OFFENSE,CITY OF OXFORD,2/6/2018 1206,10/13/2017 0000,10/15/2017 2359,2018-000103,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEARSON HALL,2/6/2018 1333,2/6/2018 1333,2/6/2018 1401,2018-000102,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,2/6/2018 1632,2/6/2018 1632,2/6/2018 1632,2018-000104,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/6/2018 1826,2/6/2018 1826,2/6/2018 1855,2018-000105,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/6/2018 2301,2/6/2018 2301,2/6/2018 2301,2018-000106,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEARSON HALL,2/7/2018 1003,2/7/2018 1003,2/7/2018 1020,2018-000107,CLOSED
FORGERY,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,2/7/2018 1412,2/6/2018 1545,2/6/2018 1629,2018-000108,OPEN
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,2/7/2018 1600,2/5/2018 1800,2/7/2018 1600,2018-000109,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,2/7/2018 1608,2/7/2018 1600,2/7/2018 1645,2018-000110,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : CENTER FOR PERFORMING ARTS,2/7/2018 1719,2/6/2018 1700,2/7/2018 1700,2018-000111,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/7/2018 2058,2/7/2018 2059,2/7/2018 2105,2018-000112,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/7/2018 2124,2/7/2018 2124,2/7/2018 2142,2018-000113,CLOSED
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/7/2018 2158,2/7/2018 2203,2/7/2018 2255,2018-000114,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : WELLS HALL,2/7/2018 2339,2/7/2018 2339,2/7/2018 2339,2018-000115,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,2/8/2018 0919,2/7/2018 1730,2/7/2018 1930,2018-000116,OPEN
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,2/8/2018 1916,2/8/2018 1858,2/8/2018 1920,2018-000117,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : STODDARD HALL,2/9/2018 0017,2/9/2018 0017,2/9/2018 0106,2018-000118,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : STODDARD HALL,2/9/2018 0017,2/9/2018 0017,2/9/2018 0106,2018-000118,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : WELLS HALL,2/9/2018 0628,2/9/2018 0628,2/9/2018 0628,2018-000120,CLOSED
ASSAULT,CITY OF OXFORD : VINE ST,2/9/2018 1456,2/2/2018 0000,2/2/2018 0200,2018-000121,CLOSED. REFERRED TO OTHER LE AGENCY
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,2/9/2018 1554,2/9/2018 1600,2/9/2018 1700,2018-000122,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/9/2018 1648,2/9/2018 1700,2/9/2018 1800,2018-000124,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/9/2018 1916,2/9/2018 1916,2/9/2018 1916,2018-000123,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,2/9/2018 2223,2/9/2018 2223,2/9/2018 2250,2018-000125,CLOSED.  REFERRED TO OESCR
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,2/9/2018 2223,2/9/2018 2223,2/9/2018 2250,2018-000125,CLOSED.  REFERRED TO OESCR
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,2/10/2018 0033,2/10/2018 0033,2/10/2018 0114,2018-000127,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/10/2018 0053,2/10/2018 0053,2/10/2018 0136,2018-000128,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/10/2018 0053,2/10/2018 0053,2/10/2018 0136,2018-000128,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/10/2018 0115,2/10/2018 0115,2/10/2018 0115,2018-000129,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/10/2018 0115,2/10/2018 0115,2/10/2018 0115,2018-000129,CLOSED.  CLEARED BY SUMMONS
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,2/10/2018 1131,2/10/2018 1130,2/10/2018 1500,2018-000130,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : EVANS SCHOLARS,2/10/2018 1812,2/10/2018 1800,2/10/2018 1812,2018-000131,CLOSED.  REFERRED TO OESCR
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,2/10/2018 1955,2/10/2018 1955,2/10/2018 1955,2018-000132,CLOSED
WARRANT SERVICE,CITY OF OXFORD : SYCAMORE ST,2/11/2018 0026,2/11/2018 0026,2/11/2018 0026,2018-000134,CLOSED. REFERRED TO OTHER LE AGENCY
TRAFFIC LAW VIOLATION,CITY OF OXFORD : SYCAMORE ST,2/11/2018 0026,2/11/2018 0026,2/11/2018 0026,2018-000134,CLOSED. REFERRED TO OTHER LE AGENCY
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/11/2018 0028,2/11/2018 0028,2/11/2018 0028,2018-000133,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/11/2018 0028,2/11/2018 0028,2/11/2018 0028,2018-000133,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,2/11/2018 0202,2/11/2018 0202,2/11/2018 0202,2018-000135,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/11/2018 0320,2/11/2018 0000,2/11/2018 0231,2018-000136,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,2/11/2018 0831,2/11/2018 0831,2/11/2018 0831,2018-000137,CLOSED
