IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/15/2022 1447,1/3/2022 0700,1/15/2022 1600,2022-000023,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/16/2022 1346,1/16/2022 0800,1/16/2022 0940,2022-000024,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/16/2022 1347,1/16/2022 1000,1/16/2022 1345,2022-000025,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : FISHER HALL,1/17/2022 1728,1/17/2022 1728,1/17/2022 1728,2022-000026,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/18/2022 1158,10/1/2021 2345,10/2/2021 0015,2022-000027,OPEN
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : LAWS HALL,1/19/2022 0809,1/19/2022 0809,1/19/2022 0809,2022-000028,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/19/2022 1356,1/19/2022 1200,1/19/2022 1400,2022-000029,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : CAMPUS AVENUE PARKING GARAGE,1/20/2022 1520,12/10/2021 1600,1/18/2022 0730,2022-000030,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DINING,1/21/2022 1226,1/21/2022 1226,1/21/2022 1226,2022-000032,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/22/2022 1214,1/22/2022 1200,1/22/2022 1800,2022-000033,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/22/2022 1541,1/22/2022 0800,1/22/2022 1005,2022-000034,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/22/2022 1548,1/22/2022 1010,1/22/2022 1200,2022-000036,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/22/2022 1548,1/20/2022 0800,1/21/2022 1700,2022-000035,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/23/2022 0019,1/23/2022 0019,1/23/2022 0019,2022-000037,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/23/2022 0019,1/23/2022 0019,1/23/2022 0019,2022-000037,CLOSED
POSSESSING CRIMINAL TOOLS,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/23/2022 0019,1/23/2022 0019,1/23/2022 0019,2022-000037,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/23/2022 0019,1/23/2022 0019,1/23/2022 0019,2022-000037,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/23/2022 0054,1/23/2022 0054,1/23/2022 0125,2022-000038,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/23/2022 0054,1/23/2022 0054,1/23/2022 0125,2022-000038,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 0414,1/23/2022 0414,1/23/2022 0414,2022-000039,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 0414,1/23/2022 0414,1/23/2022 0414,2022-000039,CLOSED
OTHER CRIMINAL OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 0414,1/23/2022 0414,1/23/2022 0414,2022-000039,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 0414,1/23/2022 0414,1/23/2022 0414,2022-000039,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : FISHER HALL,1/23/2022 1210,1/22/2022 1900,1/22/2022 1930,2022-000041,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/23/2022 1211,1/23/2022 1211,1/23/2022 1211,2022-000040,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS,1/23/2022 1320,1/23/2022 0330,1/23/2022 1300,2022-000042,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/23/2022 1347,1/22/2022 1724,1/23/2022 1315,2022-000043,CLOSED. REFERRED TO COMMUNITY STANDARDS
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/23/2022 1347,1/22/2022 1724,1/23/2022 1315,2022-000043,CLOSED. REFERRED TO COMMUNITY STANDARDS
VANDALISM,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/23/2022 1347,1/22/2022 1724,1/23/2022 1315,2022-000043,CLOSED. REFERRED TO COMMUNITY STANDARDS
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 1625,12/10/2021 1000,1/23/2022 1400,2022-000045,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/23/2022 1644,1/23/2022 1644,1/23/2022 1644,2022-000044,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLE ST,1/23/2022 1841,1/23/2022 0900,1/23/2022 1841,2022-000046,CLOSED
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 1922,12/9/2021 1700,1/23/2022 1700,2022-000047,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 1922,12/9/2021 1700,1/23/2022 1700,2022-000047,CLOSED.  CLEARED BY ARREST
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 1942,12/9/2021 1700,1/23/2022 1700,2022-000049,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 1942,12/9/2021 1700,1/23/2022 1700,2022-000049,CLOSED.  CLEARED BY ARREST
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 2033,12/9/2021 1700,1/23/2022 1700,2022-000048,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 2033,12/9/2021 1700,1/23/2022 1700,2022-000048,CLOSED.  CLEARED BY ARREST
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 2050,12/9/2021 1700,1/23/2022 1700,2022-000050,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/23/2022 2050,12/9/2021 1700,1/23/2022 1700,2022-000050,CLOSED.  CLEARED BY ARREST
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/24/2022 0256,1/24/2022 0256,1/24/2022 0330,2022-000051,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/24/2022 0256,1/24/2022 0256,1/24/2022 0330,2022-000051,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : DITMER PARKING LOT,1/24/2022 1103,1/23/2022 2200,1/24/2022 1000,2022-000052,CLOSED
SEX OFFENSE : RAPE,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/24/2022 1332,9/17/2021 0000,9/17/2021 2359,2022-000064,OPEN
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/24/2022 1426,12/10/2021 1700,1/24/2022 1415,2022-000053,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/24/2022 1426,12/10/2021 1700,1/24/2022 1415,2022-000053,CLOSED.  CLEARED BY ARREST
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,1/24/2022 1429,1/24/2022 1429,1/24/2022 1429,2022-000054,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/24/2022 1531,1/23/2022 1600,1/24/2022 1531,2022-000055,CLOSED
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/24/2022 1721,12/9/2021 1830,1/23/2022 1430,2022-000056,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/24/2022 1721,12/9/2021 1830,1/23/2022 1430,2022-000056,CLOSED.  CLEARED BY ARREST
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/24/2022 2039,1/24/2022 2039,1/24/2022 2039,2022-000057,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : EMERSON HALL,1/24/2022 2103,1/24/2022 2103,1/24/2022 2103,2022-000058,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/25/2022 0028,1/25/2022 0028,1/25/2022 0028,2022-000059,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/25/2022 0028,1/25/2022 0028,1/25/2022 0028,2022-000059,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/25/2022 0041,1/25/2022 0041,1/25/2022 0041,2022-000060,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/25/2022 0854,1/24/2022 2006,1/24/2022 2006,2022-000062,CLOSED. REFERRED TO COMMUNITY STANDARDS
TRAFFIC CRASH,CITY OF OXFORD : OXFORD TRENTON  RD SR73,1/25/2022 0927,1/25/2022 0927,1/25/2022 0927,2022-000061,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/25/2022 1047,1/25/2022 1047,1/25/2022 1047,2022-000063,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/25/2022 1047,1/25/2022 1047,1/25/2022 1047,2022-000063,CLOSED
SEX OFFENSE : RAPE,CITY OF OXFORD,1/25/2022 1710,1/24/2022 0000,1/25/2022 1710,2022-000065,CLOSED. REFERRED TO OTHER LE AGENCY
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/25/2022 1813,1/25/2022 1813,1/25/2022 1813,2022-000066,CLOSED. REFERRED TO COMMUNITY STANDARDS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/25/2022 1813,1/25/2022 1813,1/25/2022 1813,2022-000066,CLOSED. REFERRED TO COMMUNITY STANDARDS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/25/2022 1813,1/25/2022 1813,1/25/2022 1813,2022-000066,CLOSED. REFERRED TO COMMUNITY STANDARDS
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/25/2022 1828,11/24/2021 1400,1/25/2022 1828,2022-000067,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/25/2022 1828,11/24/2021 1400,1/25/2022 1828,2022-000067,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,1/25/2022 2055,1/25/2022 2055,1/25/2022 2055,2022-000068,CLOSED
HAZING,CITY OF OXFORD,1/25/2022 2102,1/25/2022 2102,1/25/2022 2102,2022-000069,UNFOUNDED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/26/2022 0841,1/26/2022 0841,1/26/2022 0841,2022-000070,CLOSED
STALKING,MIAMI UNIVERSITY : OXFORD CAMPUS,1/26/2022 0953,10/28/2021 0000,12/10/2021 0000,2022-000072,CLOSED. REFERRED TO COMMUNITY STANDARDS
DOMESTIC VIOLENCE,OTHER JURISDICTION,1/26/2022 0954,Unknown,Unknown,2022-000075,CLOSED. REFERRED TO OTHER LE AGENCY
SEX OFFENSE : FONDLING,MIAMI UNIVERSITY : OXFORD CAMPUS,1/26/2022 1010,6/4/2018 0000,7/1/2019 2359,2022-000071,OPEN
TRAFFIC CRASH : PEDESTRIAN,MIAMI UNIVERSITY : OXFORD CAMPUS : CAMPUS AVE (S. 0-899 BLK),1/26/2022 1210,1/26/2022 0953,1/26/2022 0953,2022-000073,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,1/26/2022 1253,1/26/2022 1253,1/26/2022 1253,2022-000074,CLOSED
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS,1/26/2022 1827,1/24/2022 0000,1/26/2022 1827,2022-000076,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,1/26/2022 2325,1/26/2022 1833,1/26/2022 2325,2022-000077,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/27/2022 0011,1/27/2022 0000,1/27/2022 0011,2022-000078,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/27/2022 0035,1/27/2022 0035,1/27/2022 0035,2022-000079,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/27/2022 0035,1/27/2022 0035,1/27/2022 0035,2022-000079,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/27/2022 0634,1/27/2022 0628,1/27/2022 0628,2022-000080,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/27/2022 0634,1/27/2022 0628,1/27/2022 0628,2022-000080,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : FISHER HALL,1/27/2022 1215,1/27/2022 1215,1/27/2022 1216,2022-000081,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/27/2022 1231,1/27/2022 1231,1/27/2022 1232,2022-000082,CLOSED
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY : OFF SITE LOCATION,1/27/2022 1721,1/21/2022 1700,1/22/2022 1900,2022-000088,CLOSED. REFERRED TO OTHER LE AGENCY
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,1/28/2022 0046,1/28/2022 0046,1/28/2022 0046,2022-000083,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/28/2022 0220,1/28/2022 0220,1/28/2022 0220,2022-000084,CLOSED
MEDICAL : EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/28/2022 0220,1/28/2022 0220,1/28/2022 0220,2022-000084,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/28/2022 0220,1/28/2022 0220,1/28/2022 0220,2022-000084,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/28/2022 0312,1/28/2022 0312,1/28/2022 0345,2022-000085,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/28/2022 0312,1/28/2022 0312,1/28/2022 0345,2022-000085,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/28/2022 1146,12/11/2021 1500,1/23/2022 1400,2022-000087,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/28/2022 1146,12/11/2021 1500,1/23/2022 1400,2022-000087,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/28/2022 1611,1/28/2022 1600,1/28/2022 1700,2022-000089,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/28/2022 1909,1/28/2022 1909,1/28/2022 1909,2022-000090,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/28/2022 2203,1/28/2022 2203,1/28/2022 2203,2022-000091,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/28/2022 2313,1/28/2022 2313,1/28/2022 2313,2022-000092,CLOSED
RECEIVING STOLEN PROPERTY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/29/2022 0005,1/29/2022 0005,1/29/2022 0005,2022-000093,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,1/29/2022 0038,1/29/2022 0038,1/29/2022 0038,2022-000095,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/29/2022 0043,1/29/2022 0043,1/29/2022 0043,2022-000094,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/29/2022 0043,1/29/2022 0043,1/29/2022 0043,2022-000094,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : NELLIE CRAIG WALKER HALL (FKA CAMPUS AVENUE BLDG),1/29/2022 0124,1/29/2022 0124,1/29/2022 0124,2022-000097,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/29/2022 0132,1/29/2022 0132,1/29/2022 0132,2022-000096,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/29/2022 0132,1/29/2022 0132,1/29/2022 0132,2022-000096,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/29/2022 0202,1/29/2022 0202,1/29/2022 0202,2022-000098,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/29/2022 0202,1/29/2022 0202,1/29/2022 0202,2022-000098,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/29/2022 0202,1/29/2022 0202,1/29/2022 0202,2022-000098,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/29/2022 0213,1/29/2022 0145,1/29/2022 0213,2022-000099,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HILLCREST HALL,1/29/2022 0328,1/29/2022 0328,1/29/2022 0400,2022-000100,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HILLCREST HALL,1/29/2022 0328,1/29/2022 0328,1/29/2022 0400,2022-000100,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HILLCREST HALL,1/29/2022 0328,1/29/2022 0328,1/29/2022 0400,2022-000100,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/29/2022 0439,1/29/2022 0439,1/29/2022 0439,2022-000101,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/29/2022 0752,1/29/2022 0752,1/29/2022 0752,2022-000102,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/29/2022 1238,1/29/2022 1238,1/29/2022 1238,2022-000103,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/29/2022 1722,1/29/2022 1722,1/29/2022 1722,2022-000105,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,1/30/2022 0007,1/30/2022 0007,1/30/2022 0007,2022-000106,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,1/30/2022 0007,1/30/2022 0007,1/30/2022 0007,2022-000106,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,1/30/2022 0007,1/30/2022 0007,1/30/2022 0007,2022-000106,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/30/2022 0054,1/30/2022 0054,1/30/2022 0145,2022-000107,CLOSED.  CLEARED BY ARREST
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/30/2022 0054,1/30/2022 0054,1/30/2022 0145,2022-000107,CLOSED.  CLEARED BY ARREST
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/30/2022 0112,1/30/2022 0112,1/30/2022 0112,2022-000108,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/30/2022 0112,1/30/2022 0112,1/30/2022 0112,2022-000108,CLOSED
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/30/2022 0121,1/30/2022 0121,1/30/2022 0121,2022-000109,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/30/2022 0139,1/30/2022 0139,1/30/2022 0139,2022-000111,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/30/2022 0145,1/30/2022 0145,1/30/2022 0300,2022-000110,CLOSED
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/30/2022 0145,1/30/2022 0145,1/30/2022 0300,2022-000110,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/30/2022 0730,1/30/2022 0230,1/30/2022 0400,2022-000112,CLOSED
