IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/18/2019 1504,1/18/2019 1500,1/18/2019 1600,2019-000036,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/21/2019 1628,1/21/2019 1628,1/21/2019 1628,2019-000037,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/22/2019 0945,1/23/2019 0800,1/23/2019 0945,2019-000040,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PSYCHOLOGY BLDG,1/22/2019 1557,1/22/2019 1557,1/22/2019 1557,2019-000038,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,1/22/2019 2246,1/22/2019 2246,1/22/2019 2315,2019-000039,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,1/22/2019 2246,1/22/2019 2246,1/22/2019 2315,2019-000039,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,1/22/2019 2246,1/22/2019 2246,1/22/2019 2315,2019-000039,CLOSED. REFERRED TO COMMUNITY STANDARDS
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/23/2019 1031,1/23/2019 1035,1/23/2019 1100,2019-000042,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/23/2019 1208,1/15/2019 1000,1/23/2019 1100,2019-000043,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/23/2019 1730,1/23/2019 1730,1/23/2019 1730,2019-000044,CLOSED
NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : ROUDEBUSH HALL,1/24/2019 1119,8/1/2018 0800,8/20/2018 1500,2019-000045,CLOSED
CRIMINAL DAMAGING OR ENDANGERING,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,1/24/2019 1408,1/23/2019 0130,1/23/2019 0130,2019-000046,OPEN
SEX OFFENSE : SEXUAL IMPOSITION,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,1/24/2019 1408,1/23/2019 0130,1/23/2019 0130,2019-000046,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/25/2019 1009,1/25/2019 0100,1/25/2019 1000,2019-000047,CLOSED
THEFT,CITY OF OXFORD : MAPLE ST,1/25/2019 1532,1/25/2019 1400,1/25/2019 1430,2019-000048,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : LAWS HALL,1/25/2019 1708,1/25/2019 1708,1/25/2019 1725,2019-000049,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : PINES LODGE,1/25/2019 2152,1/25/2019 2152,1/25/2019 2152,2019-000050,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/25/2019 2221,1/25/2019 2221,1/25/2019 2235,2019-000051,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : CHESTNUT ST,1/25/2019 2313,1/25/2019 2313,1/25/2019 2313,2019-000052,CLOSED.  UTT/UTC ISSUED.
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/26/2019 1739,1/26/2019 1640,1/26/2019 1640,2019-000053,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : EMERSON HALL,1/26/2019 2209,1/26/2019 2209,1/26/2019 2209,2019-000055,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : HIGH ST,1/27/2019 0017,1/27/2019 0017,1/27/2019 0017,2019-000056,CLOSED.  UTT/UTC ISSUED.
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/27/2019 1016,1/26/2019 1600,1/27/2019 1034,2019-000058,CLOSED
TELECOMMUNICATIONS FRAUD,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,1/27/2019 1029,11/29/2018 1245,11/29/2018 1245,2019-000059,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,1/27/2019 1029,11/29/2018 1245,11/29/2018 1245,2019-000059,CLOSED
MISSING PERSON,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/27/2019 1431,1/26/2019 1800,1/27/2019 1530,2019-000060,UNFOUNDED
PROPERTY : DAMAGE,CITY OF OXFORD : OAK ST,1/27/2019 1547,1/25/2019 1830,1/26/2019 1130,2019-000061,CLOSED
THEFT,CITY OF OXFORD : HIGH ST,1/27/2019 1927,1/27/2019 0000,1/27/2019 1927,2019-000062,CLOSED.  CLEARED BY SUMMONS
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MCGUFFEY DRIVE,1/27/2019 2007,1/27/2019 1650,1/27/2019 1650,2019-000063,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/27/2019 2300,1/27/2019 2300,1/27/2019 2300,2019-000064,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/27/2019 2300,1/27/2019 2300,1/27/2019 2300,2019-000064,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PULLEY PAVILLION,1/28/2019 0630,1/28/2019 0630,1/28/2019 0630,2019-000073,CLOSED
THEFT,CITY OF OXFORD : BUSINESS : BRICK STREET,1/28/2019 1446,1/26/2019 0200,1/28/2019 1530,2019-000065,CLOSED. REFERRED TO OTHER LE AGENCY
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/28/2019 1656,1/28/2019 1605,1/28/2019 1605,2019-000066,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,1/28/2019 2018,1/28/2019 2010,1/28/2019 2010,2019-000067,CLOSED.  UTT/UTC ISSUED.
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,1/29/2019 0854,1/29/2019 0854,1/29/2019 1412,2019-000068,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/29/2019 1603,1/29/2019 1600,1/29/2019 1700,2019-000069,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/29/2019 1655,1/29/2019 1655,1/29/2019 1705,2019-000070,CLOSED.  CLEARED BY SUMMONS
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/29/2019 2219,1/29/2019 2219,1/29/2019 2219,2019-000071,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/29/2019 2219,1/29/2019 2219,1/29/2019 2219,2019-000071,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/30/2019 0027,1/30/2019 0027,1/30/2019 0027,2019-000075,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,1/30/2019 0041,1/30/2019 0041,1/30/2019 0041,2019-000076,CLOSED.  UTT/UTC ISSUED.
TELECOMMUNICATIONS FRAUD,CITY OF OXFORD,1/30/2019 1011,1/23/2019 1310,1/24/2019 0917,2019-000077,CLOSED. REFERRED TO OTHER LE AGENCY
THEFT,CITY OF OXFORD,1/30/2019 1011,1/23/2019 1310,1/24/2019 0917,2019-000077,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/30/2019 1430,1/30/2019 1430,1/30/2019 1430,2019-000078,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/30/2019 1456,1/30/2019 1456,1/30/2019 1456,2019-000079,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/30/2019 1630,1/30/2019 1630,1/30/2019 1644,2019-000080,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESSER HALL,1/30/2019 1743,1/30/2019 1743,1/30/2019 1743,2019-000081,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ART MUSEUM,1/30/2019 1751,1/30/2019 1751,1/30/2019 1751,2019-000082,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ART MUSEUM,1/31/2019 0359,1/31/2019 0359,1/31/2019 0359,2019-000085,CLOSED
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : NELLIE CRAIG WALKER HALL (FKA CAMPUS AVENUE BLDG),1/31/2019 1516,1/31/2019 1500,1/31/2019 1530,2019-000086,UNFOUNDED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ART MUSEUM,1/31/2019 2018,1/30/2019 2018,1/30/2019 2023,2019-000087,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/31/2019 2243,1/29/2019 1250,1/29/2019 1250,2019-000088,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/1/2019 0152,2/1/2019 0152,2/1/2019 0152,2019-000090,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,2/1/2019 1220,2/1/2019 1220,2/1/2019 1220,2019-000091,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,2/1/2019 1220,2/1/2019 1220,2/1/2019 1220,2019-000091,CLOSED. REFERRED TO COMMUNITY STANDARDS
ASSAULT,CITY OF OXFORD,2/1/2019 1755,12/1/2018 0000,1/31/2019 0000,2019-000109,CLOSED
NON-CRIMINAL COMPLAINT,CITY OF OXFORD,2/1/2019 1755,12/1/2018 0000,1/31/2019 0000,2019-000109,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,2/1/2019 2010,2/1/2019 2010,2/1/2019 2041,2019-000092,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/1/2019 2249,2/1/2019 2249,2/1/2019 2249,2019-000093,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/1/2019 2249,2/1/2019 2249,2/1/2019 2249,2019-000093,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,2/1/2019 2347,2/1/2019 2347,2/2/2019 0006,2019-000094,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,2/2/2019 0016,2/2/2019 0016,2/2/2019 0035,2019-000095,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,2/2/2019 0016,2/2/2019 0016,2/2/2019 0035,2019-000095,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/2/2019 0258,2/2/2019 0258,2/2/2019 0258,2019-000096,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/2/2019 0258,2/2/2019 0258,2/2/2019 0258,2019-000096,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : STEAM POWER PLANT,2/2/2019 1334,2/2/2019 1334,2/2/2019 1402,2019-000097,CLOSED
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,2/2/2019 2109,2/2/2019 2210,2/2/2019 2315,2019-000099,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,2/2/2019 2341,2/2/2019 2341,2/2/2019 2341,2019-000100,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/3/2019 0044,2/3/2019 0044,2/3/2019 0145,2019-000101,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/3/2019 0044,2/3/2019 0044,2/3/2019 0145,2019-000101,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/3/2019 0044,2/3/2019 0044,2/3/2019 0145,2019-000101,CLOSED.  CLEARED BY SUMMONS
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/3/2019 1015,2/2/2019 1430,2/3/2019 0900,2019-000102,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/3/2019 1015,2/2/2019 1430,2/3/2019 0900,2019-000102,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/3/2019 1544,2/3/2019 1544,2/3/2019 1600,2019-000103,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,2/3/2019 1749,2/3/2019 1300,2/3/2019 1530,2019-000104,CLOSED
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/3/2019 2249,2/3/2019 2249,2/3/2019 2345,2019-000105,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ECOLOGY RESEARCH CENTER,2/4/2019 0742,2/4/2019 0742,2/4/2019 0758,2019-000106,CLOSED
MISUSE OF CREDIT CARDS,MIAMI UNIVERSITY : OXFORD CAMPUS : NELLIE CRAIG WALKER HALL (FKA CAMPUS AVENUE BLDG),2/4/2019 1347,12/24/2018 0008,12/24/2018 0008,2019-000107,CLOSED
MISUSE OF CREDIT CARDS,MIAMI UNIVERSITY : OXFORD CAMPUS : NELLIE CRAIG WALKER HALL (FKA CAMPUS AVENUE BLDG),2/4/2019 1403,12/29/2018 1658,12/29/2018 1658,2019-000108,CLOSED
MISUSE OF CREDIT CARDS,MIAMI UNIVERSITY : OXFORD CAMPUS : NELLIE CRAIG WALKER HALL (FKA CAMPUS AVENUE BLDG),2/4/2019 1458,1/30/2019 2053,1/30/2019 2053,2019-000110,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,2/4/2019 1851,2/4/2019 1851,2/4/2019 1851,2019-000111,CLOSED.  UTT/UTC ISSUED.
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/5/2019 1600,2/5/2019 1600,2/5/2019 1600,2019-000112,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,2/5/2019 2015,2/5/2019 2015,2/5/2019 2015,2019-000113,CLOSED.  UTT/UTC ISSUED.
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DINING,2/5/2019 2117,2/5/2019 2117,2/5/2019 2117,2019-000114,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/5/2019 2309,2/5/2019 2309,2/5/2019 2309,2019-000115,CLOSED
ASSAULT,CITY OF OXFORD : CAMPUS AVE,2/6/2019 0834,2/1/2019 0300,2/1/2019 0300,2019-000123,CLOSED. REFERRED TO OTHER LE AGENCY
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS,2/6/2019 1215,8/27/2018 0000,2/6/2019 1120,2019-000122,UNFOUNDED
INTIMIDATION,MIAMI UNIVERSITY : OXFORD CAMPUS,2/6/2019 1215,8/27/2018 0000,2/6/2019 1120,2019-000122,UNFOUNDED
MISUSE OF CREDIT CARDS,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,2/6/2019 1336,2/6/2019 1336,2/6/2019 1353,2019-000116,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,2/6/2019 1336,2/6/2019 1336,2/6/2019 1353,2019-000116,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/6/2019 1526,2/5/2019 1700,2/6/2019 1500,2019-000117,UNFOUNDED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/6/2019 1620,2/6/2019 1620,2/6/2019 1620,2019-000118,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
SEX OFFENSE : SEXUAL IMPOSITION,CITY OF OXFORD,2/6/2019 2106,2/6/2019 2106,2/6/2019 2106,2019-000119,CLOSED. REFERRED TO OTHER LE AGENCY
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/6/2019 2303,2/2/2019 0100,2/2/2019 0500,2019-000120,UNFOUNDED
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : SHIDELER HALL,2/7/2019 0919,2/6/2019 1300,2/7/2019 0830,2019-000121,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : SHIDELER HALL,2/7/2019 0919,2/6/2019 1300,2/7/2019 0830,2019-000121,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,2/7/2019 0941,9/27/2018 0800,10/11/2018 2300,2019-000153,CLOSED.  CLEARED BY ARREST
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,2/7/2019 1241,2/7/2019 1241,2/7/2019 1241,2019-000124,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,2/7/2019 1330,2/7/2019 1330,2/7/2019 1345,2019-000125,CLOSED
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,2/7/2019 1537,2/7/2019 1537,2/7/2019 1735,2019-000126,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,2/7/2019 2028,2/7/2019 2028,2/7/2019 2028,2019-000127,CLOSED
PROPERTY : DAMAGE,CITY OF OXFORD : LAWS DR,2/7/2019 2212,2/7/2019 2212,2/7/2019 2300,2019-000128,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/8/2019 0022,2/8/2019 0022,2/8/2019 0100,2019-000129,CLOSED
PSYCHOLOGICAL EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/8/2019 0022,2/8/2019 0022,2/8/2019 0100,2019-000129,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/8/2019 1527,2/8/2019 1530,2/8/2019 1630,2019-000130,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,2/8/2019 1846,2/8/2019 1600,2/8/2019 1830,2019-000131,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/8/2019 1938,2/8/2019 1938,2/8/2019 2000,2019-000132,CLOSED
TRAFFIC CRASH,CITY OF OXFORD : MAPLE ST,2/8/2019 2350,2/8/2019 2350,2/8/2019 2350,2019-000133,CLOSED.  UTT/UTC ISSUED.
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : EMERSON HALL,2/9/2019 0005,2/9/2019 0005,2/9/2019 0005,2019-000134,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/9/2019 0022,2/9/2019 0022,2/9/2019 0022,2019-000135,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,CITY OF OXFORD : BONHAM RD,2/9/2019 0044,2/9/2019 0044,2/9/2019 0115,2019-000136,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,CITY OF OXFORD : BONHAM RD,2/9/2019 0044,2/9/2019 0044,2/9/2019 0115,2019-000136,CLOSED.  CLEARED BY SUMMONS
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/9/2019 0233,2/9/2019 0233,2/9/2019 0233,2019-000137,CLOSED
