IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
OTHER CRIMINAL OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/20/2021 2220,1/20/2021 2220,1/20/2021 2220,2021-000021,CLOSED.  CLEARED BY SUMMONS
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : NATURAL AREAS / HIKING TRAILS : BACHELOR PRESERVE PINE LOOP,1/21/2021 1813,1/21/2021 1813,1/21/2021 1813,2021-000022,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,1/21/2021 2140,1/21/2021 2140,1/21/2021 2247,2021-000023,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,1/21/2021 2140,1/21/2021 2140,1/21/2021 2247,2021-000023,CLOSED. REFERRED TO COMMUNITY STANDARDS
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,1/21/2021 2140,1/21/2021 2140,1/21/2021 2247,2021-000023,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,1/21/2021 2213,1/21/2021 2213,1/21/2021 2300,2021-000024,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,1/21/2021 2213,1/21/2021 2213,1/21/2021 2300,2021-000024,CLOSED.  CLEARED BY SUMMONS
POSSESSING CRIMINAL TOOLS,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,1/21/2021 2213,1/21/2021 2213,1/21/2021 2300,2021-000024,CLOSED.  CLEARED BY SUMMONS
TELECOMMUNICATIONS HARASSMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : ADVANCEMENT SERVICES,1/22/2021 0804,1/22/2021 0000,1/22/2021 0900,2021-000025,CLOSED
WELFARE CHECK,CITY OF OXFORD : ELM ST,1/22/2021 1027,1/22/2021 1027,1/22/2021 1100,2021-000026,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/22/2021 2039,1/22/2021 2039,1/22/2021 2039,2021-000027,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/22/2021 2039,1/22/2021 2039,1/22/2021 2039,2021-000027,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/23/2021 0227,1/23/2021 0227,1/23/2021 0227,2021-000028,CLOSED
INFORMATION,MIAMI UNIVERSITY,1/23/2021 1229,Unknown,Unknown,2021-000029,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/23/2021 1613,1/23/2021 1613,1/23/2021 1613,2021-000030,CLOSED. REFERRED TO COMMUNITY STANDARDS
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/23/2021 1656,1/23/2021 1100,1/23/2021 1400,2021-000031,UNFOUNDED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,1/24/2021 0007,1/24/2021 0007,1/24/2021 0007,2021-000033,CLOSED.  CLEARED BY ARREST
OBSTRUCTING OFFICIAL BUSINESS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,1/24/2021 0007,1/24/2021 0007,1/24/2021 0007,2021-000033,CLOSED.  CLEARED BY ARREST
OTHER CRIMINAL OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,1/24/2021 0007,1/24/2021 0007,1/24/2021 0007,2021-000033,CLOSED.  CLEARED BY ARREST
POSSESSING CRIMINAL TOOLS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,1/24/2021 0007,1/24/2021 0007,1/24/2021 0007,2021-000033,CLOSED.  CLEARED BY ARREST
PARKING VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,1/24/2021 0007,1/24/2021 0007,1/24/2021 0007,2021-000033,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,1/24/2021 0007,1/24/2021 0007,1/24/2021 0007,2021-000033,CLOSED.  CLEARED BY ARREST
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,1/24/2021 1519,1/24/2021 1519,1/24/2021 1540,2021-000034,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/24/2021 2337,1/24/2021 2337,1/24/2021 2337,2021-000035,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : LOGAN LODGE,1/25/2021 1911,1/25/2021 1911,1/25/2021 1922,2021-000036,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/25/2021 2157,1/26/2021 0030,1/26/2021 0330,2021-000037,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/25/2021 2158,1/25/2021 2158,1/26/2021 0030,2021-000038,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : YOUNG HALL (FKA BEECHWOODS HALL),1/25/2021 2215,1/25/2021 2215,1/25/2021 2229,2021-000039,CLOSED
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/26/2021 1054,1/26/2021 1054,1/26/2021 1130,2021-000040,CLOSED
ATTEMPT,MIAMI UNIVERSITY : OXFORD CAMPUS : ETHRIDGE HALL,1/26/2021 1547,1/20/2021 0210,1/26/2021 1300,2021-000041,CLOSED
OTHER CRIMINAL OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : ETHRIDGE HALL,1/26/2021 1547,1/20/2021 0210,1/26/2021 1300,2021-000041,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/26/2021 1700,1/1/2021 0200,1/26/2021 1700,2021-000042,CLOSED
IDENTITY FRAUD,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/27/2021 1406,4/1/2020 0000,1/27/2021 1300,2021-000043,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : CULINARY SUPPORT CTR,1/28/2021 0811,1/26/2021 2138,1/26/2021 2152,2021-000044,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ROUDEBUSH HALL,1/28/2021 0940,1/16/2021 0000,1/28/2021 0900,2021-000045,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : RECYCLING CENTER,1/28/2021 1441,1/28/2021 1447,1/28/2021 1456,2021-000047,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/28/2021 1619,1/28/2021 1619,1/28/2021 1619,2021-000046,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : CHESTNUT ST,1/28/2021 2310,1/28/2021 2310,1/28/2021 2310,2021-000048,CLOSED.  UTT/UTC ISSUED.
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : NORTH CAMPUS PARKING GARAGE,1/29/2021 1700,1/29/2021 1700,1/29/2021 1700,2021-000049,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : NORTH CAMPUS PARKING GARAGE,1/29/2021 1700,1/29/2021 1700,1/29/2021 1700,2021-000049,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/30/2021 0028,1/30/2021 0028,1/30/2021 0047,2021-000050,UNFOUNDED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/30/2021 0057,1/30/2021 0500,1/30/2021 0500,2021-000051,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/30/2021 0058,1/11/2021 2300,1/30/2021 0015,2021-000052,CLOSED
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLE ST,1/30/2021 1339,1/30/2021 1339,1/30/2021 1339,2021-000053,CLOSED.  UTT/UTC ISSUED.
INFORMATION,MIAMI UNIVERSITY,1/30/2021 1630,1/30/2021 1630,1/30/2021 1630,2021-000054,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/30/2021 2222,1/30/2021 2222,1/30/2021 2222,2021-000055,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/31/2021 0023,1/31/2021 0023,1/31/2021 0023,2021-000056,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/31/2021 1858,1/31/2021 1858,1/31/2021 1913,2021-000057,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,1/31/2021 2215,1/31/2021 2145,1/31/2021 2145,2021-000058,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,2/1/2021 1500,2/1/2021 1500,2/1/2021 1510,2021-000059,CLOSED
ASSAULT,CITY OF OXFORD,2/1/2021 1918,1/24/2021 0800,2/2/2021 1918,2021-000060,CLOSED. REFERRED TO OTHER LE AGENCY
HAZING,CITY OF OXFORD,2/1/2021 1918,1/24/2021 0800,2/2/2021 1918,2021-000060,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,2/1/2021 2322,2/1/2021 2322,2/1/2021 2322,2021-000061,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : YAGER STADIUM : ATHLETIC PERFORMANCE CENTER,2/2/2021 1729,2/2/2021 1655,2/2/2021 1705,2021-000062,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARTIN DINING HALL,2/2/2021 2026,2/2/2021 2026,2/2/2021 2026,2021-000063,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/3/2021 0918,2/2/2021 1800,2/3/2021 0705,2021-000064,CLOSED. REFERRED TO COMMUNITY STANDARDS
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/3/2021 0918,2/2/2021 1800,2/3/2021 0705,2021-000064,CLOSED. REFERRED TO COMMUNITY STANDARDS
FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/3/2021 2028,2/3/2021 2028,2/3/2021 2028,2021-000065,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/3/2021 2028,2/3/2021 2028,2/3/2021 2028,2021-000065,CLOSED
CRIMINAL TRESPASS,MIAMI UNIVERSITY : OXFORD CAMPUS : PEFFER MEMORIAL PARK,2/3/2021 2226,2/3/2021 2226,2/3/2021 2226,2021-000066,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : PEFFER MEMORIAL PARK,2/3/2021 2226,2/3/2021 2226,2/3/2021 2226,2021-000066,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/4/2021 1304,2/4/2021 1304,2/4/2021 1320,2021-000068,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,2/4/2021 1435,2/4/2021 1435,2/4/2021 1448,2021-000069,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MCBRIDE HALL,2/4/2021 1512,2/4/2021 1512,2/4/2021 1527,2021-000070,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,2/4/2021 1712,2/4/2021 1712,2/4/2021 1712,2021-000071,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,2/4/2021 1922,2/4/2021 1922,2/4/2021 1922,2021-000072,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : FISHER DRIVE,2/5/2021 0104,2/5/2021 0104,2/5/2021 0111,2021-000073,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/5/2021 0321,2/5/2021 0321,2/5/2021 0321,2021-000075,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/5/2021 0321,2/5/2021 0321,2/5/2021 0321,2021-000075,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/5/2021 0321,2/5/2021 0321,2/5/2021 0321,2021-000074,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,2/5/2021 0429,2/5/2021 0030,2/5/2021 0400,2021-000076,CLOSED
INFORMATION,OXFORD TOWNSHIP : OXFORD MILFORD RD,2/5/2021 0739,2/5/2021 0739,2/5/2021 0739,2021-000077,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,2/5/2021 1257,2/5/2021 1257,2/5/2021 1257,2021-000078,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HARRIS DRIVE,2/5/2021 1547,2/5/2021 0000,2/5/2021 1000,2021-000079,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,2/5/2021 1614,2/1/2021 2245,2/1/2021 2330,2021-000080,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/6/2021 0131,2/6/2021 0131,2/6/2021 0153,2021-000081,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : DITMER PARKING LOT,2/6/2021 1426,1/30/2021 0000,2/6/2021 1430,2021-000082,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/6/2021 2234,2/5/2021 2234,2/5/2021 2234,2021-000083,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/6/2021 2234,2/5/2021 2234,2/5/2021 2234,2021-000083,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : REID HALL,2/7/2021 0111,2/7/2021 0111,2/7/2021 0111,2021-000084,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/7/2021 0139,2/7/2021 0139,2/7/2021 0139,2021-000085,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : BISHOP HALL,2/7/2021 0415,2/7/2021 0415,2/7/2021 0415,2021-000086,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : BISHOP HALL,2/7/2021 0415,2/7/2021 0415,2/7/2021 0415,2021-000086,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,2/7/2021 0623,2/6/2021 2300,2/7/2021 0400,2021-000087,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,2/7/2021 0624,2/4/2021 2300,2/7/2021 0200,2021-000088,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/7/2021 1345,2/7/2021 1348,2/7/2021 1400,2021-000089,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,2/8/2021 0122,2/8/2021 0122,2/8/2021 0122,2021-000090,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : CULINARY SUPPORT CTR,2/8/2021 0807,2/5/2021 1330,2/5/2021 1400,2021-000091,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,2/8/2021 2051,2/8/2021 2051,2/8/2021 2051,2021-000092,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/8/2021 2217,2/8/2021 2217,2/8/2021 2217,2021-000093,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : LOGAN LODGE,2/8/2021 2255,2/8/2021 2255,2/8/2021 2255,2021-000094,CLOSED
WARRANT SERVICE,OTHER JURISDICTION,2/9/2021 1026,2/5/2021 1430,2/5/2021 1641,2021-000096,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,2/9/2021 1831,2/9/2021 1831,2/9/2021 1831,2021-000097,CLOSED. REFERRED TO COMMUNITY STANDARDS
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,2/9/2021 2203,2/9/2021 2203,2/9/2021 2203,2021-000098,UNFOUNDED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,2/9/2021 2321,2/9/2021 2321,2/9/2021 2321,2021-000099,CLOSED
TELECOMMUNICATIONS HARASSMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : YOUNG HALL (FKA BEECHWOODS HALL),2/10/2021 1302,2/8/2021 2109,2/8/2021 2244,2021-000100,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,2/10/2021 2205,2/10/2021 2205,2/10/2021 2220,2021-000101,CLOSED. REFERRED TO COMMUNITY STANDARDS
INFORMATION,OTHER JURISDICTION,2/11/2021 1042,2/11/2021 1042,2/11/2021 1042,2021-000102,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/11/2021 1800,2/11/2021 1800,2/11/2021 1800,2021-000103,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,2/11/2021 2141,2/11/2021 2141,2/11/2021 2200,2021-000104,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DRIVE,2/12/2021 0026,2/12/2021 0026,2/12/2021 0100,2021-000105,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DRIVE,2/12/2021 0026,2/12/2021 0026,2/12/2021 0100,2021-000105,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,2/12/2021 0325,2/12/2021 0325,2/12/2021 0325,2021-000106,CLOSED.  CLEARED BY SUMMONS
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,2/12/2021 0325,2/12/2021 0325,2/12/2021 0325,2021-000106,CLOSED.  CLEARED BY SUMMONS
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/12/2021 1456,2/12/2021 1455,2/12/2021 1515,2021-000107,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : YOUNG HALL (FKA BEECHWOODS HALL),2/12/2021 1701,2/12/2021 1705,2/12/2021 1718,2021-000108,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,2/12/2021 2103,2/12/2021 2000,2/12/2021 2100,2021-000109,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,2/13/2021 0000,2/13/2021 0000,2/13/2021 0025,2021-000110,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : ANDERSON HALL,2/13/2021 0004,2/13/2021 0004,2/13/2021 0004,2021-000111,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/13/2021 0041,2/13/2021 0041,2/13/2021 0355,2021-000112,CLOSED.  CLEARED BY ARREST
RESISTING ARREST,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,2/13/2021 0041,2/13/2021 0041,2/13/2021 0355,2021-000112,CLOSED.  CLEARED BY ARREST
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : AIRPORT,2/13/2021 0942,2/12/2021 1100,2/13/2021 0941,2021-000113,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/13/2021 1801,2/9/2021 1914,2/9/2021 1930,2021-000114,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,2/13/2021 2239,2/13/2021 2239,2/13/2021 2239,2021-000115,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,2/13/2021 2239,2/13/2021 2239,2/13/2021 2239,2021-000115,CLOSED
MEDICAL : EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,2/13/2021 2338,2/13/2021 2338,2/14/2021 0030,2021-000116,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/14/2021 0041,2/14/2021 0041,2/14/2021 0041,2021-000117,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/14/2021 0041,2/14/2021 0041,2/14/2021 0041,2021-000117,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,2/14/2021 1555,2/14/2021 1555,2/14/2021 1620,2021-000119,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/15/2021 0101,2/15/2021 0101,2/15/2021 0101,2021-000121,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,2/15/2021 0111,2/15/2021 0111,2/15/2021 0111,2021-000120,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : DORSEY HALL,2/15/2021 0426,2/15/2021 0426,2/15/2021 0426,2021-000122,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,2/15/2021 1013,2/15/2021 1013,2/15/2021 1013,2021-000123,CLOSED
