IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/13/2023 1328,1/13/2023 1328,1/13/2023 1329,2023-000010,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/13/2023 1820,1/13/2023 1820,1/13/2023 1820,2023-000011,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ADVANCEMENT SERVICES,1/17/2023 1056,10/18/2022 0000,1/16/2023 2359,2023-000022,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,1/17/2023 1326,1/17/2023 1326,1/17/2023 1326,2023-000014,CLOSED
ROBBERY,OTHER JURISDICTION,1/17/2023 1539,Unknown,Unknown,2023-000017,OPEN
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS : SPRING ST (E. 200-799 BLK),1/17/2023 1605,1/17/2023 1604,1/17/2023 1636,2023-000013,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/17/2023 1800,12/1/2022 0001,1/17/2023 1800,2023-000015,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/17/2023 1800,12/1/2022 0001,1/17/2023 1800,2023-000015,OPEN
MISUSE OF CREDIT CARDS,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/19/2023 1631,1/19/2023 1134,1/19/2023 1134,2023-000018,UNFOUNDED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,1/20/2023 1125,1/20/2023 0656,1/20/2023 0715,2023-000021,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MACCRACKEN HALL,1/21/2023 1154,1/20/2023 1700,1/20/2023 1700,2023-000024,OPEN
MEDICAL : ASSIST,CITY OF OXFORD : BUSINESS : CORNER BAR,1/21/2023 1401,1/21/2023 1400,1/21/2023 1419,2023-000025,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/21/2023 1531,1/21/2023 1330,1/21/2023 1649,2023-000026,CLOSED
CANINE DEPLOYMENT,OTHER JURISDICTION,1/22/2023 0853,1/23/2023 0853,1/23/2023 2000,2023-000028,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/22/2023 1050,1/22/2023 1050,1/22/2023 1050,2023-000027,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/22/2023 1531,1/22/2023 1531,1/22/2023 1531,2023-000030,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/22/2023 1544,1/22/2023 1544,1/22/2023 1544,2023-000031,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/22/2023 1703,1/22/2023 1703,1/22/2023 1703,2023-000032,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DRIVE,1/22/2023 1708,1/22/2023 1708,1/22/2023 1708,2023-000033,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/22/2023 1913,1/21/2023 1900,1/21/2023 2020,2023-000034,CLOSED.  CLEARED BY ARREST
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/22/2023 1913,1/21/2023 1900,1/21/2023 2020,2023-000034,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/22/2023 2058,1/22/2023 2058,1/22/2023 2058,2023-000035,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/22/2023 2058,1/22/2023 2058,1/22/2023 2058,2023-000035,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/22/2023 2102,1/22/2023 2015,1/22/2023 2100,2023-000036,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/22/2023 2106,1/24/2022 0000,5/15/2022 2359,2023-000037,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/22/2023 2352,1/22/2023 2300,1/22/2023 2352,2023-000038,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/23/2023 1242,12/29/2022 1018,1/22/2023 1200,2023-000039,UNFOUNDED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/23/2023 1943,1/23/2023 1943,1/23/2023 1943,2023-000040,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/24/2023 0203,1/24/2023 0203,1/24/2023 0203,2023-000041,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/24/2023 0203,1/24/2023 0203,1/24/2023 0203,2023-000041,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : ECOLOGY RESEARCH CENTER,1/24/2023 0906,1/13/2023 0800,1/13/2023 0801,2023-000042,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/24/2023 0939,1/24/2023 0939,1/24/2023 0939,2023-000043,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,1/24/2023 1030,1/24/2023 1030,1/24/2023 1031,2023-000044,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/24/2023 2210,1/24/2023 2210,1/24/2023 2210,2023-000045,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/25/2023 0101,1/25/2023 0101,1/25/2023 0101,2023-000046,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/25/2023 0101,1/25/2023 0101,1/25/2023 0101,2023-000046,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/25/2023 0244,1/25/2023 0244,1/25/2023 0315,2023-000047,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/25/2023 0244,1/25/2023 0244,1/25/2023 0315,2023-000047,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/25/2023 0244,1/25/2023 0244,1/25/2023 0315,2023-000047,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE,MIAMI UNIVERSITY,1/25/2023 1108,8/22/2022 0000,12/9/2022 2359,2023-000049,OPEN
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/25/2023 1108,8/22/2022 0000,12/9/2022 2359,2023-000048,OPEN
TELECOMMUNICATIONS FRAUD (Count 1),MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/25/2023 1129,1/16/2023 0800,1/16/2023 0801,2023-000050,OPEN
TELECOMMUNICATIONS FRAUD (Count 2),MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/25/2023 1129,1/16/2023 0800,1/16/2023 0801,2023-000050,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/25/2023 1129,1/16/2023 0800,1/16/2023 0801,2023-000050,OPEN
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : HOYT HALL,1/25/2023 1809,1/25/2023 1809,1/25/2023 1809,2023-000051,CLOSED
TELECOMMUNICATIONS HARASSMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/25/2023 2208,1/22/2023 1700,1/25/2023 2208,2023-000052,OPEN
STALKING,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/25/2023 2208,1/22/2023 1700,1/25/2023 2208,2023-000052,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/26/2023 0201,1/26/2023 0201,1/26/2023 0201,2023-000053,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,1/26/2023 0235,1/26/2023 0235,1/26/2023 0235,2023-000055,CLOSED
ALCOHOL VIOLATION : NON-CRIMINAL COMPLAINT,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,1/26/2023 0235,1/26/2023 0235,1/26/2023 0235,2023-000055,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,1/26/2023 1125,1/26/2023 1125,1/26/2023 1125,2023-000056,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,1/26/2023 1125,1/26/2023 1125,1/26/2023 1125,2023-000056,OPEN
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/26/2023 1244,1/24/2023 0030,1/24/2023 0030,2023-000057,OPEN
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/26/2023 1424,1/26/2023 1424,1/26/2023 1430,2023-000058,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/26/2023 1556,1/26/2023 1250,1/26/2023 1251,2023-000059,CLOSED
MENACING,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/26/2023 1556,1/26/2023 1250,1/26/2023 1251,2023-000059,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/26/2023 2011,1/26/2023 2011,1/26/2023 2011,2023-000060,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/27/2023 0017,1/26/2023 2358,1/26/2023 2358,2023-000062,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : REID HALL,1/27/2023 1126,12/13/2022 0700,1/27/2023 1319,2023-000063,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/27/2023 1608,1/27/2023 1608,1/27/2023 1608,2023-000064,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/27/2023 1918,1/27/2023 1918,1/27/2023 1918,2023-000065,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,1/27/2023 2006,1/27/2023 2006,1/27/2023 2006,2023-000066,CLOSED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/28/2023 0054,1/28/2023 0054,1/28/2023 0054,2023-000067,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/28/2023 0054,1/28/2023 0054,1/28/2023 0054,2023-000067,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/28/2023 0054,1/28/2023 0054,1/28/2023 0054,2023-000067,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/28/2023 0157,1/28/2023 0157,1/28/2023 0157,2023-000068,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/28/2023 0157,1/28/2023 0157,1/28/2023 0157,2023-000068,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/28/2023 0250,1/28/2023 0250,1/28/2023 0250,2023-000069,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/28/2023 0326,1/28/2023 0326,1/28/2023 0326,2023-000070,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/28/2023 0326,1/28/2023 0326,1/28/2023 0326,2023-000070,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,1/28/2023 0751,1/28/2023 0751,1/28/2023 0751,2023-000071,CLOSED
CRIMINAL DAMAGING OR ENDANGERING,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/28/2023 0857,1/28/2023 0100,1/28/2023 0430,2023-000072,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ART MUSEUM,1/28/2023 1150,1/28/2023 1150,1/28/2023 1150,2023-000073,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,1/28/2023 1449,1/28/2023 1300,1/28/2023 1300,2023-000074,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,1/28/2023 2304,1/28/2023 2304,1/28/2023 2304,2023-000075,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : PORTER HALL,1/29/2023 0219,1/29/2023 0219,1/29/2023 0219,2023-000076,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,1/29/2023 1816,1/29/2023 1816,1/29/2023 1816,2023-000077,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/29/2023 2316,1/29/2023 2316,1/29/2023 2316,2023-000078,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MACCRACKEN HALL,1/30/2023 0911,1/27/2023 0830,1/27/2023 1900,2023-000079,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : MACCRACKEN HALL,1/30/2023 0911,1/27/2023 0830,1/27/2023 1900,2023-000079,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/30/2023 1020,1/29/2023 2230,1/30/2023 0645,2023-000081,UNFOUNDED
MISUSE OF CREDIT CARDS,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/30/2023 1618,1/30/2023 0153,1/30/2023 0153,2023-000080,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : BLANCHARD HOUSE,1/30/2023 1618,1/30/2023 0153,1/30/2023 0153,2023-000080,OPEN
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/31/2023 1114,1/31/2023 1114,1/31/2023 1114,2023-000082,OPEN
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : ETHRIDGE HALL,1/31/2023 1332,1/31/2023 1332,1/31/2023 1332,2023-000083,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,2/1/2023 0029,2/1/2023 0029,2/1/2023 0029,2023-000085,CLOSED
SEX OFFENSE : FONDLING,CITY OF OXFORD,2/1/2023 0855,11/12/2022 2330,11/13/2022 1300,2023-000090,CLOSED. REFERRED TO OTHER LE AGENCY
CANINE DEPLOYMENT,OTHER JURISDICTION,2/1/2023 0949,2/1/2023 0949,2/1/2023 1145,2023-000086,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,2/1/2023 1422,2/1/2023 1422,2/1/2023 1422,2023-000087,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : REID HALL,2/1/2023 1847,2/1/2023 1847,2/1/2023 1847,2023-000088,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : REID HALL,2/2/2023 0353,2/2/2023 0353,2/2/2023 0353,2023-000089,CLOSED
WELFARE CHECK,CITY OF OXFORD : ARROWHEAD DR,2/2/2023 1134,2/2/2023 1134,2/2/2023 1305,2023-000094,CLOSED
DATING VIOLENCE,UNKNOWN,2/2/2023 1134,Unknown,Unknown,2023-000096,UNFOUNDED
SEX OFFENSE,UNKNOWN,2/2/2023 1134,Unknown,Unknown,2023-000095,UNFOUNDED
ASSAULT,UNKNOWN,2/2/2023 1323,Unknown,Unknown,2023-000097,UNFOUNDED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,2/2/2023 1507,1/26/2023 0300,1/29/2023 1700,2023-000098,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,2/2/2023 1904,2/2/2023 1904,2/2/2023 1904,2023-000099,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,2/3/2023 0111,2/3/2023 0111,2/3/2023 0111,2023-000100,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,2/3/2023 0111,2/3/2023 0111,2/3/2023 0111,2023-000100,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HALL,2/3/2023 0111,2/3/2023 0111,2/3/2023 0111,2023-000100,CLOSED.  CLEARED BY SUMMONS
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : EMERSON HALL,2/3/2023 0917,2/1/2023 2300,2/1/2023 2300,2023-000101,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/3/2023 1153,2/3/2023 0001,2/3/2023 0245,2023-000102,OPEN
ROBBERY,OTHER JURISDICTION,2/3/2023 1308,Unknown,Unknown,2023-000119,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,2/3/2023 1722,2/3/2023 1722,2/3/2023 1722,2023-000104,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,2/3/2023 1920,2/3/2023 1920,2/3/2023 1920,2023-000105,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DINING,2/3/2023 2135,2/3/2023 1600,2/3/2023 2135,2023-000106,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HARRIS DRIVE,2/4/2023 0459,2/4/2023 0459,2/4/2023 0459,2023-000107,CLOSED
ASSAULT,CITY OF OXFORD : HIGH ST,2/4/2023 0753,1/28/2023 1830,1/28/2023 1840,2023-000108,CLOSED. REFERRED TO OTHER LE AGENCY
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DINING,2/4/2023 1401,1/30/2023 1300,1/30/2023 1400,2023-000110,CLOSED
ASSAULT : AGGRAVATED,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,2/5/2023 0205,2/5/2023 0205,2/5/2023 0205,2023-000111,CLOSED. REFERRED TO COMMUNITY STANDARDS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,2/5/2023 0205,2/5/2023 0205,2/5/2023 0205,2023-000111,CLOSED. REFERRED TO COMMUNITY STANDARDS
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STANTON HALL,2/5/2023 0243,2/5/2023 0243,2/5/2023 0243,2023-000113,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,2/5/2023 0323,2/5/2023 0323,2/5/2023 0323,2023-000112,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,2/5/2023 0323,2/5/2023 0323,2/5/2023 0323,2023-000112,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,2/5/2023 0926,2/4/2023 1600,2/5/2023 1000,2023-000117,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEFFER MEMORIAL PARK,2/5/2023 1115,2/5/2023 1115,2/5/2023 1115,2023-000118,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,2/6/2023 1302,2/1/2023 0000,2/1/2023 2359,2023-000122,CLOSED
TELECOMMUNICATIONS HARASSMENT,MIAMI UNIVERSITY,2/6/2023 1337,2/5/2023 0004,2/5/2023 0011,2023-000120,CLOSED
HAZING,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY : OFF SITE LOCATION,2/6/2023 1403,2/5/2023 0000,Unknown,2023-000127,OPEN
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : HUGHES LABORATORIES,2/6/2023 1431,2/6/2023 1415,2/6/2023 1420,2023-000121,OPEN
HAZING,CITY OF OXFORD,2/6/2023 1613,1/25/2023 0000,Unknown,2023-000129,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,2/6/2023 2115,2/6/2023 2115,2/6/2023 2115,2023-000123,CLOSED
SEX OFFENSE : FONDLING,MIAMI UNIVERSITY : OXFORD CAMPUS : CLAWSON HALL,2/6/2023 2127,2/6/2023 1800,2/6/2023 1900,2023-000124,OPEN
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/7/2023 0140,2/7/2023 0140,2/7/2023 0140,2023-000125,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,2/7/2023 0140,2/7/2023 0140,2/7/2023 0140,2023-000125,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,2/7/2023 0159,2/7/2023 0159,2/7/2023 0159,2023-000126,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,2/7/2023 0159,2/7/2023 0159,2/7/2023 0159,2023-000126,CLOSED
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,2/7/2023 0159,2/7/2023 0159,2/7/2023 0159,2023-000126,CLOSED
DISORDERLY CONDUCT : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,2/7/2023 0159,2/7/2023 0159,2/7/2023 0159,2023-000126,CLOSED
HAZING,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY,2/7/2023 0754,2/2/2023 1630,2/2/2023 1745,2023-000128,UNFOUNDED
SEX OFFENSE : RAPE,CITY OF OXFORD,2/7/2023 0923,Unknown,Unknown,2023-000134,CLOSED. REFERRED TO OTHER LE AGENCY
TELECOMMUNICATIONS HARASSMENT,MIAMI UNIVERSITY : OXFORD CAMPUS,2/7/2023 0933,1/27/2023 2249,2/5/2023 0949,2023-000135,OPEN
STALKING,MIAMI UNIVERSITY : OXFORD CAMPUS,2/7/2023 0933,1/27/2023 2249,2/5/2023 0949,2023-000135,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,2/7/2023 1002,2/6/2023 1630,2/7/2023 0900,2023-000130,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : CULINARY SUPPORT CTR,2/7/2023 1235,2/7/2023 1235,2/7/2023 1235,2023-000131,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY,2/7/2023 1355,8/23/2021 0000,12/11/2021 2359,2023-000132,OPEN
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : NORTH CAMPUS PARKING GARAGE,2/7/2023 1423,2/6/2023 1740,2/6/2023 1742,2023-000133,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : EVANS SCHOLARS,2/7/2023 2201,2/7/2023 1300,2/7/2023 1600,2023-000137,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,2/8/2023 0948,2/7/2023 1700,2/8/2023 0948,2023-000138,CLOSED
HAZING,CITY OF OXFORD,2/8/2023 1141,1/1/2022 0000,11/5/2022 1049,2023-000144,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : FISHER HALL,2/8/2023 1941,2/8/2023 1941,2/8/2023 1941,2023-000139,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RICHARD HALL,2/9/2023 1028,2/1/2023 1852,2/3/2023 1030,2023-000140,OPEN
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : PEFFER MEMORIAL PARK,2/9/2023 1031,2/9/2023 1031,2/9/2023 1031,2023-000141,CLOSED
